30 RECOMMENDED NEW PRODUCTS FOR DISTRIBUTOR RECOMMENDATION ENGINE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
All 30 products are direct extensions of the 10 existing SKUs (SKU01–SKU10)  |  OEM01  |  Source: Designed based on Primary_Sales.xlsx brand analysis,,,,,,,,,,,,,
SKU ID,Brand Family,SKU Name,SKU Description,Category,OEM,Priority,Pack Size,Variant Type,Unit Cost (₹),Recommendation Strategy,Target Channel,Similar to Existing SKU,Rationale
SKU11,MALKIST CHEESE,MALKIST CHEESE MINI PACK,MALKIST CHEESE MINI 24 PCS X 36GM - IMPULSE PACK,MALKIST CHEESE,OEM01,High,24 PCS X 36GM,Mini / Impulse,6.2,"Content-Based — same category, lower price tier",Super Stockist + Regional Distributor,"SKU01 — same flavour, smaller pack",Smaller entry-level pack targeting impulse buyers at lower price point. Complements existing 48 PCS X 72GM (SKU01) by capturing new shopper segments.
SKU12,MALKIST CHEESE,MALKIST CHEESE JUMBO PACK,MALKIST CHEESE JUMBO 6 PCS X 250GM - VALUE PACK,MALKIST CHEESE,OEM01,High,6 PCS X 250GM,Jumbo / Value,52,"Content-Based — same category, higher price tier",Regional Distributor,"SKU03 — same flavour, larger pack","Large-format value pack for bulk buyers and modern trade. Sits above Family 10 (SKU03, ₹46.50) in the premium tier."
SKU13,MALKIST CHEESE,MALKIST CHEESE DISPLAY BOX,MALKIST CHEESE DISPLAY 10 X 8 X 72GM - COUNTER DISPLAY,MALKIST CHEESE,OEM01,Medium,10 X 8 X 72GM,Display / Counter,14.8,"Content-Based — same category, display format",Super Stockist,"SKU01, SKU02 — same flavour, display packaging",Counter-display format designed for visibility at retail checkout. Drives impulse purchase of the core Cheese SKU at retail level.
SKU14,MALKIST CHEESE,MALKIST CHEESE GIFT BOX,MALKIST CHEESE GIFT 3 X 200GM - FESTIVE GIFTING PACK,MALKIST CHEESE,OEM01,Medium,3 X 200GM,Gift / Festive,65,Trend-Based — seasonal demand spike,Regional Distributor,"SKU03 — same brand, premium price tier","Premium gifting format for festive seasons (Diwali, Eid, Christmas). Opens a new revenue channel with zero cannibalization of regular SKUs."
SKU15,MALKIST CHEESE,MALKIST CHEESE + CHOCOLATE,MALKIST CHEESE & CHOCO COMBO 16 X 30 X 20G - COMBO,MALKIST CHEESE,OEM01,Medium,16 X 30 X 20G,Combo / Cross-sell,15.8,Collaborative — mirrors SKU07 bundle success,Super Stockist + Regional Distributor,SKU07 — same combo bundle concept,Cheese + Chocolate flavour combo mirrors the successful KOPIKO CAPPU + MALKIST bundle model (SKU07). Cross-sells two flavours in one SKU.
SKU16,MALKIST CHEESE,MALKIST CHEESE CRACKER THIN,MALKIST CHEESE THIN CRACKER 24 X 20 X 25GM - THIN FORMAT,MALKIST CHEESE,OEM01,Low,24 X 20 X 25GM,Thin Cracker,8.5,"Content-Based — same category, new format",Regional Distributor,"SKU01 — same brand, different texture",Thin cracker format caters to health-conscious consumers seeking lighter biscuits. Expands the MALKIST CHEESE line into a new texture segment.
SKU17,MALKIST CHEESE,MALKIST CHEESE MULTIPACK,MALKIST CHEESE MULTIPACK 5 X 10 X 72GM - SCHOOL PACK,MALKIST CHEESE,OEM01,High,5 X 10 X 72GM,Multipack / School,11,Trend-Based — demand spike in residential coverage zones,Super Stockist,"SKU01, SKU02 — same flavour, multipack",School-lunch multipack format. High velocity in areas near schools and residential colonies. Similar price point to SKU01 (₹12.40).
SKU18,MALKIST CHEESE,MALKIST CHEESE BULK SHIPPER,MALKIST CHEESE SHIPPER CASE 100 PCS X 72GM - BULK TRADE,MALKIST CHEESE,OEM01,Low,100 PCS X 72GM,Bulk Shipper,11.8,Collaborative — Tier 1 Super Stockists (D03) tend to buy bulk,Super Stockist,"SKU01 — same flavour, bulk trade format",Trade-format bulk shipper for large-format retailers and warehouses. Lowest per-unit cost in the MALKIST CHEESE range — attracts price-sensitive bulk buyers.
SKU19,BENG BENG,BENG BENG WAFER CHOCOLATE,BENG BENG WAFER CHOCO 12 X 25 X 22GM - CHOCO VARIANT,BENG BENG,OEM01,High,12 X 25 X 22GM,Chocolate Flavour,9.3,"Content-Based — same category, same price, new flavour",Super Stockist + Regional Distributor,"SKU04 — identical pack format, chocolate flavour",Chocolate variant at the same pack size and price as SKU04 (₹9.30). Direct flavour extension — easiest cross-sell for existing BENG BENG buyers.
SKU20,BENG BENG,BENG BENG WAFER STRAWBERRY,BENG BENG WAFER STRAWBERRY 12 X 25 X 22GM - BERRY VARIANT,BENG BENG,OEM01,Medium,12 X 25 X 22GM,Strawberry Flavour,9.3,"Content-Based — same category, same price, new flavour",Regional Distributor,"SKU04 — identical pack format, strawberry flavour",Strawberry flavour targeting younger consumers and female buyers. Same size and cost as core SKU04 — zero supply chain complexity.
SKU21,BENG BENG,BENG BENG PARTY PACK,BENG BENG PARTY PACK 6 X 10 X 25G - SHARING PACK,BENG BENG,OEM01,High,6 X 10 X 25G,Party / Sharing,13.5,"Content-Based — same category, premium sharing format",Super Stockist + Regional Distributor,SKU05 — larger sharing format,"Sharing/party format above GB pack (SKU05, ₹11.16). Captures group-consumption occasions — canteens, offices, small events."
SKU22,BENG BENG,BENG BENG CRISPY ROLL,BENG BENG CRISPY ROLL 12 X 20 X 18GM - ROLL FORMAT,BENG BENG,OEM01,Medium,12 X 20 X 18GM,Crispy Roll,7.8,Trend-Based — lower price tier gaining share in Tier 2 cities,Regional Distributor,"SKU04 — same brand, roll format, lower price",Roll-shaped wafer snack at a lower price point than SKU04. Targets price-sensitive markets and smaller retail formats.
SKU23,BENG BENG,BENG BENG JUMBO WAFER,BENG BENG JUMBO 8 X 12 X 45GM - JUMBO SINGLE SERVE,BENG BENG,OEM01,Medium,8 X 12 X 45GM,Jumbo Single Serve,18,"Content-Based — same brand, premium size",Super Stockist,"SKU05 — same brand, premium positioning",Jumbo single-serve format positioned as a premium snacking upgrade. Attracts consumers who want more volume per purchase.
SKU24,BENG BENG,BENG BENG ASSORTED GIFT BOX,BENG BENG ASSORTED 3 FLAVOUR GIFT BOX 12 X 150GM - FESTIVE,BENG BENG,OEM01,Low,12 X 150GM,Assorted Gift Box,58,Trend-Based — seasonal festive demand,Regional Distributor,"SKU05 — same brand, festive premium tier","Multi-flavour gifting SKU for festive seasons. High margin, low volume — differentiates BENG BENG as a gift-worthy brand."
SKU25,BENG BENG,BENG BENG WAFER MINI BOX,BENG BENG MINI BOX 48 PCS X 11GM - MINI IMPULSE BOX,BENG BENG,OEM01,High,48 PCS X 11GM,Mini Impulse Box,5,Trend-Based — high velocity at low price point,Super Stockist + Regional Distributor,"SKU04 — same brand, mini impulse format",Smallest entry in the range at ₹5. Drives trial among new consumers at low risk. High velocity in kirana and small retail formats.
SKU26,KOPIKO CAPPUCCINO,KOPIKO CAPPUCCINO SACHET 10S,KOPIKO CAPPUCCINO 10 SACHET PACK X 3.5G - TRIAL PACK,KOPIKO CAPPUCCINO,OEM01,High,10 SACHET X 3.5G,Trial Sachet Pack,4.5,"Content-Based — same category, trial format",Super Stockist + Regional Distributor,"SKU08 — same product, trial-size bundle",Trial-size sachet pack just above the core 28-sachet SKU08 (₹3.10). Drives product trial in new markets without the commitment of a large pack.
SKU27,KOPIKO CAPPUCCINO,KOPIKO CAPPUCCINO JAR 100S,KOPIKO CAPPUCCINO JAR 100 PCS X 3.5G - BULK JAR,KOPIKO CAPPUCCINO,OEM01,High,100 PCS X 3.5G,Bulk Counter Jar,2.8,Collaborative — Tier 1 stockists serve HORECA accounts,Super Stockist,"SKU08 — same candy, bulk HORECA format","Counter jar for cafes, restaurants, and offices. Lowest per-unit cost in the range. Opens HORECA (hotel/restaurant/cafe) distribution channel."
SKU28,KOPIKO CAPPUCCINO,KOPIKO BLANCA CANDY,KOPIKO BLANCA 28 PCH X 120 X 3.5G - WHITE COFFEE VARIANT,KOPIKO CAPPUCCINO,OEM01,High,28 PCH X 120 X 3.5G,White Coffee (Blanca),3.1,"Content-Based — same category, same format, new flavour",Super Stockist + Regional Distributor,"SKU08 — identical format, Blanca flavour",Blanca (white coffee) variant at identical price and pack size to SKU08. Direct flavour extension — distributors can carry both with zero extra logistics.
SKU29,KOPIKO CAPPUCCINO,KOPIKO CAPPUCCINO DISPLAY TIN,KOPIKO CAPPUCCINO TIN 150 PCS X 3.5G - RETAIL DISPLAY TIN,KOPIKO CAPPUCCINO,OEM01,Medium,150 PCS X 3.5G,Display Tin,3.5,"Content-Based — same product, premium display format",Super Stockist,"SKU08 — same product, display tin packaging",Retail display tin for checkout counters. Drives impulse purchase. Premium shelf presence vs. poly-bag SKU08.
SKU30,KOPIKO CAPPUCCINO,KOPIKO CAPPU EXTRA STRONG,KOPIKO CAPPU STRONG 12 X 230 X 3.5GR - EXTRA STRONG,KOPIKO CAPPUCCINO,OEM01,High,12 X 230 X 3.5GR,Extra Strong Coffee,15.5,"Content-Based — same category and price, intensity variant",Super Stockist + Regional Distributor,"SKU06 — same format, stronger flavour",Extra-strong coffee intensity variant at same pack size and price as SKU06 (₹15.50). Targets consumers who prefer bolder coffee flavour.
SKU31,KOPIKO CAPPUCCINO,KOPIKO CAPPU DECAF,KOPIKO CAPPU DECAF 12 X 230 X 3.5GR - DECAF VARIANT,KOPIKO CAPPUCCINO,OEM01,Medium,12 X 230 X 3.5GR,Decaffeinated,16,Trend-Based — health-conscious segment growing,Regional Distributor,"SKU06 — same format, decaf variant",Decaf variant targets health-conscious and evening-consumption segments. Slightly premium (₹16.00 vs ₹15.50 for SKU06) — incremental margin.
SKU32,KOPIKO CAPPUCCINO,KOPIKO CAPPU + BENG BENG COMBO,KOPIKO CAPPU 4X650X3.5G + BENG BENG 20PCS COMBO - NEW COMBO,KOPIKO CAPPUCCINO,OEM01,Medium,4 X 650 X 3.5G + 20 PCS,Coffee + Biscuit Combo,10.5,Collaborative — replicates SKU07 bundle purchase pattern,Super Stockist + Regional Distributor,"SKU07 — same bundle concept, different snack pairing",Extension of the proven SKU07 bundle model (KOPIKO + MALKIST). Pairs KOPIKO coffee candy with BENG BENG wafer — a coffee + snack pairing.
SKU33,KOPIKO CAPPUCCINO,KOPIKO CAPPUCCINO GIFT TIN,KOPIKO CAPPUCCINO GIFT TIN 200 PCS X 3.5G - PREMIUM GIFTING,KOPIKO CAPPUCCINO,OEM01,Low,200 PCS X 3.5G,Premium Gift Tin,72,Trend-Based — corporate gifting demand in Q4,Regional Distributor,"SKU06 — same brand, premium festive positioning",Luxury gift tin for corporate gifting and festive hampers. Highest price point in the KOPIKO range — positions brand as premium.
SKU34,MALKIST SUGAR,MALKIST SUGAR MINI PACK,MALKIST SUGAR MINI 24 PCS X 36GM - IMPULSE MINI,MALKIST SUGAR,OEM01,High,24 PCS X 36GM,Mini / Impulse,12,"Content-Based — same category, smaller entry format",Super Stockist + Regional Distributor,"SKU09 — same flavour, smaller pack",Smaller entry pack for MALKIST SUGAR — mirrors the mini strategy used successfully in MALKIST CHEESE. Priced below SKU09 (₹23.56).
SKU35,MALKIST SUGAR,MALKIST SUGAR + CREAM,MALKIST SUGAR CREAM 16 X 30 X 20G - CREAM FILLED,MALKIST SUGAR,OEM01,High,16 X 30 X 20G,Cream Filled,16,"Content-Based — same category, cream-filled premium variant",Super Stockist + Regional Distributor,"SKU09 — same brand, cream-filled upgrade",Cream-filled variant at a premium over the plain sugar cracker. Expands MALKIST SUGAR into the cream-biscuit segment — new shopper base.
SKU36,MALKIST SUGAR,MALKIST SUGAR FAMILY PACK,MALKIST SUGAR FAMILY 10 X 6 X 150GM - FAMILY VALUE,MALKIST SUGAR,OEM01,High,10 X 6 X 150GM,Family Value Pack,44,Collaborative — distributors buying SKU03 likely to stock this,Super Stockist + Regional Distributor,"SKU03, SKU10 — family pack format, MALKIST SUGAR brand","Family-size Sugar version mirrors SKU03 (MALKIST CHEESE FAMILY 10, ₹46.50). Completes the family-pack range across both MALKIST sub-brands."
SKU37,MALKIST SUGAR,MALKIST SUGAR THIN CRACKER,MALKIST SUGAR THIN 24 X 20 X 25GM - THIN LIGHT CRACKER,MALKIST SUGAR,OEM01,Medium,24 X 20 X 25GM,Thin Light Cracker,10,"Content-Based — same thin-cracker format, Sugar variant",Regional Distributor,"SKU10 — same brand, thin health-oriented format",Thin cracker format mirrors SKU16 (MALKIST CHEESE THIN). Targets health-conscious buyers who want lower-calorie crackers.
SKU38,MALKIST SUGAR,MALKIST SUGAR MULTIPACK,MALKIST SUGAR MULTIPACK 5 X 10 X 80GM - SCHOOL MULTIPACK,MALKIST SUGAR,OEM01,High,5 X 10 X 80GM,School Multipack,22,Trend-Based — school-segment demand aligns with SKU17 trend,Super Stockist,"SKU09 — same brand, school multipack format",School-segment multipack for MALKIST SUGAR — mirrors SKU17 CHEESE MULTIPACK. High velocity near schools; priced just below the GB pack (₹23.56).
SKU39,MALKIST SUGAR,MALKIST SUGAR GIFT BOX,MALKIST SUGAR GIFT 3 X 200GM - PREMIUM FESTIVE GIFT,MALKIST SUGAR,OEM01,Medium,3 X 200GM,Festive Gift Box,68,"Trend-Based — seasonal demand, mirrors SKU14 pattern",Regional Distributor,"SKU14 — same gift-box format, MALKIST SUGAR brand","Festive gift box for MALKIST SUGAR — mirrors SKU14 (CHEESE GIFT BOX, ₹65). Completes the gifting range across both MALKIST sub-brands."
SKU40,MALKIST SUGAR,MALKIST SUGAR BULK SHIPPER,MALKIST SUGAR SHIPPER 100 PCS X 80GM - BULK TRADE CASE,MALKIST SUGAR,OEM01,Low,100 PCS X 80GM,Bulk Trade Case,20,"Collaborative — Tier 1 Super Stockists (D01, D03) buy bulk",Super Stockist,"SKU10, SKU18 — same bulk-trade format, MALKIST SUGAR",Bulk shipper mirrors SKU18 (CHEESE BULK SHIPPER). Completes the bulk-trade format across both MALKIST sub-brands. Preferred by Tier 1 Super Stockists for warehouse stocking.
